strategy,symbol,name,industry,entry_date,exit_date,shares,entry_price,exit_price,gross_pnl,cost,net_pnl,gross_return,net_return,exit_reason
baseline_full_liquidity_detail_vol_position,002155,湖南黄金,黄金,2025-03-11,2025-03-25,2000,28.236,30.1779,3883.8000000000006,87.62085,3796.179150000001,0.0687739056523587,0.06722232522311944,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300476,胜宏科技,元器件,2025-03-12,2025-03-26,800,71.7483,84.6529,10323.680000000002,93.84071999999999,10229.839280000002,0.17985931373983777,0.1782244192545329,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300153,科泰电源,电气设备,2025-03-14,2025-03-28,700,45.87,36.41,-6622.000000000001,43.197,-6665.197000000001,-0.2062350119904077,-0.2075803357314149,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000333,美的集团,家用电器,2025-03-20,2025-04-03,1300,80.5951,78.6962,-2468.569999999997,155.3090175,-2623.879017499997,-0.023560985717493963,-0.025043314978205843,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601899,紫金矿业,铜,2025-03-21,2025-04-07,2100,18.4033,15.745,-5582.430000000005,53.783572500000005,-5636.213572500005,-0.14444691984589733,-0.1458385846560129,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300100,双林股份,汽车配件,2025-03-25,2025-04-09,600,99.7262,73.4847,-15744.900000000001,77.944905,-15822.844905000002,-0.2631354649029042,-0.264438113304227,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002553,南方精工,汽车配件,2025-03-26,2025-04-10,2700,25.4899,17.2713,-22190.219999999998,86.59143,-22276.811429999998,-0.3224257450990392,-0.32368392579021493,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600580,卧龙电驱,电气设备,2025-03-28,2025-04-14,700,35.1693,28.9965,-4320.959999999999,33.687045000000005,-4354.647044999999,-0.17551671486210982,-0.17688507732596323,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300760,迈瑞医疗,医疗保健,2025-04-03,2025-04-18,400,232.7657,225.895,-2748.2799999999997,137.59821,-2885.87821,-0.029517665188642482,-0.030995526939751,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601288,农业银行,银行,2024-08-26,2025-04-21,197,5.2116,5.6114,78.76059999999998,1.59909825,77.16150174999999,0.07671348530201856,0.07515595018804205,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601288,农业银行,银行,2025-04-07,2025-04-21,7803,5.3521,5.6114,2023.3178999999973,64.16114287500001,1959.1567571249973,0.04844827264064566,0.046911936436165175,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,603501,豪威集团,半导体,2025-04-10,2025-04-24,300,124.3707,124.5316,48.26999999999941,56.0030175,-7.733017500000585,0.0012937130690749352,-0.00020725721572687096,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,000564,供销大集,百货,2025-04-11,2025-04-25,17900,2.98,2.71,-4833.0,76.38825000000001,-4909.38825,-0.09060402684563758,-0.09203607382550336,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600171,上海贝岭,半导体,2025-04-14,2025-04-28,500,36.9262,35.4785,-723.8500000000023,27.1517625,-751.0017625000023,-0.03920522555800501,-0.040675821638836505,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002155,湖南黄金,黄金,2025-04-18,2025-05-07,2800,31.9229,30.7027,-3416.5599999999954,131.51376,-3548.073759999995,-0.03822334437034224,-0.03969467686206449,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600988,赤峰黄金,黄金,2025-04-21,2025-05-08,1600,29.5059,27.5234,-3172.0000000000027,68.43516,-3240.4351600000027,-0.0671899518401405,-0.0686395593762604,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300773,拉卡拉,软件服务,2025-04-24,2025-05-13,1300,27.8392,21.7589,-7904.390000000001,48.358147499999994,-7952.748147500001,-0.21840785654760198,-0.2197440506551913,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300100,双林股份,汽车配件,2025-04-25,2025-05-14,400,111.7231,108.169,-1421.6400000000021,65.96763,-1487.6076300000022,-0.0318116844233646,-0.03328782566004708,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300766,每日互动,互联网,2025-04-28,2025-05-15,600,37.73,39.6,1122.0000000000027,34.7985,1087.2015000000026,0.049562682215743566,0.04802551020408176,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600839,四川长虹,家用电器,2025-05-07,2025-05-21,7500,11.4564,10.5821,-6557.249999999999,123.9665625,-6681.216562499999,-0.07631542194755768,-0.07775818538109702,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300548,长芯博创,通信设备,2025-05-08,2025-05-22,800,49.5459,47.5441,-1601.4400000000023,58.254000000000005,-1659.6940000000022,-0.040402939496507334,-0.04187263729188495,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002130,沃尔核材,电气设备,2025-05-13,2025-05-27,1500,21.4514,19.9019,-2324.2499999999973,46.5224625,-2370.7724624999973,-0.07223304772648863,-0.07367887294069377,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601919,中远海控,水运,2025-05-14,2025-05-28,2500,17.5036,17.8585,887.2500000000016,66.3039375,820.9460625000016,0.02027582897232573,0.018760622100596487,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601166,XD兴业银,银行,2025-05-15,2025-05-29,900,24.7777,24.3574,-378.2700000000009,33.1661925,-411.4361925000009,-0.016962833515620942,-0.018450111390484226,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300963,中洲特材,小金属,2025-05-21,2025-06-05,1800,44.2479,42.6942,-2796.6599999999985,117.37183499999998,-2914.0318349999984,-0.03511353081163172,-0.036587195663522996,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300750,宁德时代,电气设备,2025-05-22,2025-06-06,100,283.1744,256.8753,-2629.9100000000008,40.5037275,-2670.4137275000007,-0.09287244892193648,-0.09430279458524503,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600016,民生银行,银行,2025-05-28,2025-06-12,13700,4.4727,4.943,6443.109999999999,96.74631749999999,6346.3636824999985,0.10514901513627115,0.10357015337491893,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002427,尤夫股份,化纤,2025-05-29,2025-06-13,600,10.13,9.61,-312.0000000000008,8.883000000000001,-320.8830000000008,-0.05133267522211266,-0.05279417571569607,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601229,上海银行,银行,2025-05-29,2025-06-13,3400,11.0844,10.9178,-566.4400000000026,56.10561,-622.5456100000025,-0.015030132438381938,-0.01651885983905315,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300468,四方精创,软件服务,2025-06-05,2025-06-19,2900,26.66,41.0,41586.0,147.16049999999998,41438.8395,0.5378844711177795,0.5359810577644412,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002639,雪人集团,专用机械,2025-06-06,2025-06-20,2000,13.18,10.3,-5759.999999999998,35.22,-5795.219999999998,-0.21851289833080417,-0.21984901365705609,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300255,常山药业,生物制药,2025-06-12,2025-06-26,1300,51.84,46.5,-6942.000000000005,95.88149999999999,-7037.881500000005,-0.10300925925925933,-0.10443200231481489,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002734,利民股份,农药化肥,2025-06-13,2025-06-27,900,22.21,17.96,-3825.0,27.114749999999997,-3852.11475,-0.19135524538496174,-0.192711728950923,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,300199,翰宇药业,化学制药,2025-06-13,2025-06-27,1300,16.89,16.32,-741.0000000000003,32.37975,-773.3797500000003,-0.03374777975133216,-0.035222468916518666,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600809,山西汾酒,白酒,2025-06-19,2025-07-03,600,180.2741,179.2736,-600.30000000001,161.79646499999998,-762.09646500001,-0.005549882096208033,-0.007045719684635877,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600415,小商品城,商品城,2025-06-20,2025-07-04,1600,19.46,18.67,-1263.9999999999986,45.75600000000001,-1309.7559999999987,-0.04059609455292904,-0.04206564748201435,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601318,中国平安,保险,2025-06-26,2025-07-10,1000,60.4388,56.8195,-3619.3000000000025,87.943725,-3707.2437250000025,-0.05988371708240406,-0.06133880429459226,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002074,国轩高科,电气设备,2025-06-27,2025-07-11,400,32.5242,29.9159,-1043.32,18.73203,-1062.0520299999998,-0.08019566968595691,-0.08163552293369243,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,601328,交通银行,银行,2025-06-30,2025-07-14,3100,8.1983,8.229,95.16999999999847,38.193472500000006,56.97652749999846,0.0037446787748679003,0.002241870265786749,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,600150,中国船舶,船舶,2025-07-03,2025-07-17,3200,33.03,33.79,2431.9999999999936,160.36800000000002,2271.6319999999937,0.02300938540720551,0.021492128368150107,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002987,京北方,软件服务,2025-07-04,2025-07-18,1400,22.52,22.1,-587.9999999999974,46.851,-634.8509999999974,-0.018650088809946633,-0.02013610124333917,rebalance_unlocked
baseline_full_liquidity_detail_vol_position,002714,牧原股份,农业综合,2025-07-10,2025-07-24,1200,46.8083,49.3523,3052.7999999999965,86.54454,2966.2554599999967,0.054349335481100505,0.05280857347948968,rebalance_unlocked
