strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio,strategy_source,ashare_resolved_strategy,route_reason,ashare_available,ashare_candidate_count,ashare_risk_veto_ratio,ashare_market_regime,ashare_governance_hint,risk_veto_reason,dual_intersection_count,dual_union_count
adaptive_market_style,2026-05-27,2026-05-26,163633.76937750002,384320.0,547953.7693775,1.0959075387550001,5,0.7013730381608738,5,387910.0,5,0,551543.7693775,5.0,0.7,3.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0662809659872674,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,4.402327859113316,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-28,2026-05-27,163633.76937750002,382757.0,546390.7693775,1.0927815387550002,5,0.7005187888442422,5,375500.0,5,0,539133.7693775,5.0,0.7,2.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.051517125115213,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,5.471570715059717,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-05-29,2026-05-28,163633.76937750002,374240.0,537873.7693775,1.0757475387550002,5,0.6957766325603142,5,385406.0,5,0,549039.7693775,5.0,0.7,2.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9604919110208976,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,6.063916420917506,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-06-01,2026-05-29,163633.76937750002,366365.0,529998.7693775,1.059997538755,5,0.6912563220294021,5,375573.0,5,0,539206.7693775,5.0,0.7,3.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0604143873073542,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,7.339444658784858,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
adaptive_market_style,2026-06-02,2026-06-01,163633.76937750002,373183.0,536816.7693775,1.073633538755,5,0.6951776123401436,4,273732.0,5,0,529597.7693775,5.0,0.7,3.0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9155053347580117,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,7.9010956513765915,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7,,,,,,,,,,,
ashare_auto_shadow,2026-03-04,2026-03-03,500000.0,0.0,500000.0,1.0,0,0.0,0,,0,0,,,,,,,,,,ashare_shadow,ashare_auto_shadow,,,,,,,,,,,1.0,AShareDataCenter,AUTO,ashare_shadow_fixed_source,1.0,34.0,0.0,,,,,
ashare_auto_shadow,2026-03-05,2026-03-04,500000.0,0.0,500000.0,1.0,0,0.0,0,,0,0,,,,,,,,,,ashare_shadow,ashare_auto_shadow,,,,,,,,,,,1.0,AShareDataCenter,AUTO,ashare_shadow_fixed_source,1.0,46.0,0.0,,,,,
ashare_auto_shadow,2026-03-06,2026-03-05,500000.0,0.0,500000.0,1.0,0,0.0,0,,0,0,,,,,,,,,,ashare_shadow,ashare_auto_shadow,,,,,,,,,,,1.0,AShareDataCenter,AUTO,ashare_shadow_fixed_source,1.0,38.0,0.0,,,,,
ashare_auto_shadow,2026-03-09,2026-03-06,500000.0,0.0,500000.0,1.0,0,0.0,0,,0,0,,,,,,,,,,ashare_shadow,ashare_auto_shadow,,,,,,,,,,,1.0,AShareDataCenter,AUTO,ashare_shadow_fixed_source,1.0,105.0,0.0,trend_following,,,,
ashare_auto_shadow,2026-03-10,2026-03-09,1526.4249999999884,515440.0,516966.425,1.03393285,1,0.9970473420977001,0,0.0,1,1,500000.0,5.0,1.0,0.0,,,,,,ashare_shadow,ashare_auto_shadow,,,,,,,,,,,1.0,AShareDataCenter,AUTO,ashare_shadow_fixed_source,1.0,106.0,0.0,trend_following,normal,,,
