event_uid,event_date,symbol,ts_code,rel_ret_d0,rel_ret_d1,rel_ret_d2,rel_ret_d3,rel_ret_d4,rel_ret_d5,rel_ret_d6,rel_ret_d7,rel_ret_d8,rel_ret_d9,rel_ret_d10,rel_ret_d11,rel_ret_d12,rel_ret_d13,rel_ret_d14,rel_ret_d15,rel_ret_d16,rel_ret_d17,rel_ret_d18,rel_ret_d19,rel_ret_d20
20260202_000596_01,2026-02-02,000596,000596.SZ,0.0,-0.008757,0.017216,0.033159,0.000674,-0.013398,-0.046661,-0.0194,-0.047181,-0.040941,-0.080385,-0.084768,-0.10267,-0.099624,-0.129634,-0.140703,-0.174575,-0.173684,-0.153331,-0.174947,-0.174204
20260202_300444_01,2026-02-02,300444,300444.SZ,0.0,0.043651,0.04828,-0.020503,0.01918,0.009259,-0.017857,-0.040344,-0.008598,-0.036376,0.035053,0.032407,0.087963,0.089286,0.051587,0.002646,0.116402,0.172619,0.167328,0.201058,0.165344
20260202_301388_01,2026-02-02,301388,301388.SZ,0.0,0.00262,0.031441,0.004367,0.025036,0.048035,0.0131,-0.010189,0.001747,-0.014265,0.034061,0.026201,0.079767,0.086754,0.039301,0.048617,0.106259,0.099272,0.144105,0.16885,0.14556
20260202_603601_01,2026-02-02,603601,603601.SH,0.0,0.085521,0.049958,-0.000847,0.00254,-0.003387,-0.068586,0.024555,-0.049958,-0.088908,0.00254,0.102456,0.120237,0.109229,0.082134,-0.026249,-0.026249,-0.012701,-0.004234,-0.029636,0.045724
20260203_000039_02,2026-02-03,000039,000039.SZ,0.0,0.100289,0.088717,0.058824,0.074253,0.065574,0.08486,0.109932,0.074253,0.16297,0.189007,0.303761,0.301832,0.320154,0.23433,0.226615,0.297975,0.292189,0.254581,0.28351,0.255545
20260203_000738_01,2026-02-03,000738,000738.SZ,0.0,0.060325,0.080046,0.028616,0.044084,0.07734,0.032483,0.059938,0.138824,0.107115,0.094354,0.107889,0.07734,0.093968,-0.015468,-0.013921,-0.018561,0.015855,-0.00464,0.007347,-0.022428
20260203_000821_01,2026-02-03,000821,000821.SZ,0.0,0.04986,0.075843,0.087079,0.141152,0.08427,0.030197,0.051966,0.104635,0.050562,0.037219,0.014045,0.043539,0.023174,-0.027388,-0.002809,0.002107,-0.014747,-0.048455,-0.007022,0.0
20260203_002602_01,2026-02-03,002602,002602.SZ,0.0,-0.041708,-0.047105,-0.028459,-0.053974,-0.065751,-0.055937,-0.060353,-0.057409,-0.071148,-0.07949,-0.090285,-0.096663,-0.13739,-0.146222,-0.148675,-0.110402,-0.105986,-0.131011,-0.130029,-0.15211
20260203_300963_01,2026-02-03,300963,300963.SZ,0.0,0.00787,-0.017708,-0.022135,-0.002951,-0.031481,-0.039351,-0.03394,-0.048697,-0.020659,-0.004427,-0.005411,0.008362,0.053615,-0.016232,-0.030497,0.012789,0.005903,0.017216,0.045253,0.030497
20260203_301503_01,2026-02-03,301503,301503.SZ,0.0,-0.010333,-0.009577,-0.009829,0.006804,0.003024,0.010081,0.004788,-0.009325,-0.003024,-0.002016,0.011089,-0.004032,-0.046875,-0.072581,-0.070565,-0.063004,-0.03881,-0.044103,-0.008065,-0.018145
20260203_600053_01,2026-02-03,600053,600053.SH,0.0,0.042424,-0.061818,-0.117172,-0.156768,-0.166869,-0.229495,-0.238384,-0.244848,-0.232727,-0.228283,-0.242424,-0.253333,-0.275152,-0.299798,-0.302222,-0.294949,-0.288485,-0.30303,-0.290909,-0.296162
20260203_600089_01,2026-02-03,600089,600089.SH,0.0,-0.006826,-0.056997,-0.059727,-0.04198,-0.049829,-0.052901,-0.012969,-0.018771,0.019795,0.031399,0.043686,0.035495,0.074744,0.012969,0.053584,0.118771,0.1,0.118089,0.087372,0.059386
20260203_603888_01,2026-02-03,603888,603888.SH,0.0,-0.062886,-0.064429,-0.07909,-0.045139,0.05054,-0.052083,-0.05054,-0.043596,-0.122299,-0.112654,-0.12037,-0.107253,-0.130401,-0.179784,-0.184028,-0.174769,-0.174769,-0.173611,-0.166281,-0.17284
