asof_date,asof_date_key,symbol,ts_code,name,score,base_score,penalty,s_trend,s_breakout,s_volume,s_rs,s_contraction,s_liquidity,opt_score,claude_score,bs_score,bs_entry_score,close_price,buy_point_close,price_change_ratio,is_limit_up,pool_type,is_self_selected
2026-05-08,20260508,603790,603790.SH,雅运股份,55.73,55.73,0.0,100.0,43.85,67.9,70.84,36.98,7.85,7.25,51.7601,65.11,92.45,25.28,22.77,11.02,0,,1
2026-05-08,20260508,600984,600984.SH,建设机械,52.34,52.34,0.0,0.0,99.2,97.39,84.21,27.38,13.82,9.0,46.2791,65.11,90.97,4.71,4.22,11.61,1,,1
2026-05-08,20260508,600724,600724.SH,宁波富达,50.52,70.52,20.0,100.0,99.2,92.49,80.39,3.87,9.42,8.6,56.951,65.11,84.75,8.09,7.09,14.1,1,,1
2026-05-08,20260508,002185,002185.SZ,华天科技,53.72,53.72,0.0,100.0,43.85,29.12,78.64,41.68,28.19,6.65,51.5008,64.8,99.33,13.74,12.69,8.27,0,,1
2026-05-08,20260508,600292,600292.SH,电投水电,46.22,46.22,0.0,100.0,43.85,61.53,75.34,6.57,20.79,8.0,51.1346,64.77,75.59,16.11,16.08,0.19,0,,1
2026-05-08,20260508,000049,000049.SZ,德赛电池,54.69,54.69,0.0,100.0,43.85,29.12,70.27,27.65,24.07,6.8,57.228,64.73,90.84,28.59,27.21,5.07,0,,1
2026-05-08,20260508,600206,600206.SH,有研新材,77.0,77.0,0.0,100.0,93.46,68.91,96.2,87.62,28.62,7.45,54.8544,64.72,40.0,30.4,21.36,42.32,0,TRADE,1
2026-05-08,20260508,000039,000039.SZ,中集集团,47.4,47.4,0.0,100.0,43.85,29.12,70.2,2.75,25.55,7.7,52.4867,64.51,84.56,12.81,12.43,3.06,0,,1
2026-05-08,20260508,002445,002445.SZ,中南文化,54.52,54.52,0.0,100.0,43.85,70.68,60.84,15.06,24.86,7.4,55.5486,64.4,88.19,3.95,3.79,4.22,0,,1
2026-05-08,20260508,002167,002167.SZ,东方锆业,57.28,57.28,0.0,100.0,43.85,63.37,67.32,35.77,21.23,7.1,50.7414,64.34,94.69,13.49,12.69,6.3,0,,1
2026-05-08,20260508,002903,002903.SZ,宇环数控,76.0,76.0,0.0,100.0,94.53,94.6,98.55,37.83,22.87,7.75,48.6638,64.32,40.0,46.34,29.85,55.24,0,TRADE,1
2026-05-08,20260508,600135,600135.SH,乐凯胶片,52.35,52.35,0.0,100.0,43.85,29.12,82.3,34.65,20.06,6.95,49.7226,64.24,85.66,11.82,11.43,3.41,0,,1
