strategy,sample,cost_rate,periods,first_signal_date,last_signal_date,avg_selected,avg_bs_count,gross_total_return,total_return,annualized_return,max_drawdown,win_rate,avg_return,median_return,best_period,worst_period,avg_score,avg_liquidity,avg_max_industry_weight,turnover_proxy
liq20_bs_score_v2_b_bonus_3pct,train,0.0015,20,2026-02-13,2026-03-23,4.95,1.7,-0.5764924952580357,-0.5895891897014949,-0.6744215303463232,-0.6678070035423261,0.25,-0.04131841715422215,-0.05984167689427662,0.127300253860832,-0.1166371167788349,77.692925,27.237575000000003,1.0,1.0
tiered_liquidity_then_bs_v2,train,0.0015,20,2026-02-13,2026-03-23,4.95,1.35,-0.5769311596643608,-0.5900155815595401,-0.6748476756026979,-0.6635124974906732,0.3,-0.041301580081794895,-0.05844625623626638,0.11850565217034717,-0.12141379349515577,76.877,27.988624999999995,1.0,1.0
liq_top_10_then_dynamic_factor,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.35,-0.6017740631390318,-0.6141205404198539,-0.6987485862828153,-0.6418803583057523,0.3,-0.044771691767526114,-0.05576086249435103,0.0627369257243347,-0.13405857520576486,74.11102500000001,29.149475000000002,1.0,1.0
baseline_full_dynamic_factor,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.4,-0.6023392239952786,-0.6146662084746964,-0.6992852430799905,-0.6423867714962778,0.25,-0.04506699045213934,-0.05132337242293494,0.0627369257243347,-0.13405857520576486,75.061325,27.682475,1.0,1.0
liq20_bs_score_v2_b_bonus_5pct,train,0.0015,20,2026-02-13,2026-03-23,5.0,2.25,-0.6111978068366868,-0.6232780075774014,-0.7077285274436083,-0.7008608188585447,0.25,-0.044947437136525596,-0.05984167689427662,0.09388973358777421,-0.1627840732655775,77.2021,27.2719,1.0,1.0
tiered_liquidity_then_dynamic_factor,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.4,-0.6160122783772657,-0.6279408249243004,-0.712279276493273,-0.6547064240938356,0.3,-0.04634826519409954,-0.05576086249435103,0.0627369257243347,-0.15113381587990746,74.075125,29.131075,1.0,1.0
liq_top_20_then_dynamic_factor,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.35,-0.6202946032426296,-0.6321052866402008,-0.7163311361073914,-0.6585712982158486,0.35,-0.04623425647019304,-0.05046381280867092,0.0627369257243347,-0.2047650101760524,74.14582500000002,28.880074999999998,1.0,1.0
baseline_full_dynamic_factor_industry_cap2,train,0.0015,20,2026-02-13,2026-03-23,1.95,0.25,-0.6289345093555218,-0.6405078812966368,-0.7244701785723286,-0.6245294276684749,0.4,-0.04574535797173603,-0.053809797321265174,0.11002517234256909,-0.18461379065761468,76.33175,28.3205,1.0,1.0
liq20_score_b_bonus_5pct,train,0.0015,20,2026-02-13,2026-03-23,5.0,2.0,-0.6362450924164323,-0.6475828035607064,-0.7312849839722073,-0.6735094126500101,0.2,-0.04833634820131603,-0.05357559660834921,0.08522626295376287,-0.2047650101760524,79.19120000000001,27.4106,1.0,1.0
liq20_bs_score_v2_b_bonus_8pct,train,0.0015,20,2026-02-13,2026-03-23,5.0,2.95,-0.6595202891426841,-0.6701668764495405,-0.752798684714804,-0.7384458664790297,0.2,-0.051396229370969916,-0.060171094088468866,0.09536422412015445,-0.1698827699791328,76.05959999999999,27.2072,1.0,1.0
liq_top_10_then_liq_breakout_adj,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.9,-0.6644496481686125,-0.6749595757399691,-0.757316028235872,-0.7352099393844356,0.15,-0.05099524881728196,-0.06567287916559766,0.22754012557873535,-0.17212041808808684,78.46615,28.622750000000003,1.0,1.0
liq_top_10_then_score,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.9,-0.6644496481686125,-0.6749595757399691,-0.757316028235872,-0.7352099393844356,0.15,-0.05099524881728196,-0.06567287916559766,0.22754012557873535,-0.17212041808808684,78.46615,28.622750000000003,1.0,1.0
liq20_score_b_bonus_8pct,train,0.0015,20,2026-02-13,2026-03-23,5.0,2.7,-0.6666241342405297,-0.6770590408296703,-0.7592894391011302,-0.6878972447896414,0.2,-0.05253303839025476,-0.06035620158707844,0.0723492710191212,-0.2047650101760524,78.51680000000002,27.444000000000006,1.0,1.0
liq20_bs_score_v2_b_bonus_0pct,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.75,-0.6861082554924323,-0.695956341352058,-0.7769001404610142,-0.7146759401129431,0.15,-0.05590923857487273,-0.06821550710437235,0.08681090266723776,-0.12782601550751632,78.139625,27.233575000000002,1.0,1.0
liq_top_20_then_bs_v2,train,0.0015,20,2026-02-13,2026-03-23,4.95,0.75,-0.6861082554924323,-0.695956341352058,-0.7769001404610142,-0.7146759401129431,0.15,-0.05590923857487273,-0.06821550710437235,0.08681090266723776,-0.12782601550751632,78.139625,27.233575000000002,1.0,1.0
tiered_liquidity_then_liq_breakout_adj,train,0.0015,20,2026-02-13,2026-03-23,4.95,1.4,-0.7004653239960532,-0.7098919177191736,-0.7897067254758672,-0.7403887511580209,0.15,-0.05735029186314522,-0.0749993464501931,0.11747115571794867,-0.17212041808808684,78.722025,28.009499999999996,1.0,1.0
tiered_liquidity_then_score,train,0.0015,20,2026-02-13,2026-03-23,4.95,1.4,-0.7004653239960532,-0.7098919177191736,-0.7897067254758672,-0.7403887511580209,0.15,-0.05735029186314522,-0.0749993464501931,0.11747115571794867,-0.17212041808808684,78.722025,28.009499999999996,1.0,1.0
liq20_score_b_bonus_3pct,train,0.0015,20,2026-02-13,2026-03-23,5.0,1.4,-0.7151615757290507,-0.7241512144427364,-0.8026461713375515,-0.7190901297664081,0.2,-0.05947239367315538,-0.0638659982045162,0.08522626295376287,-0.2047650101760524,79.5474,27.413400000000003,1.0,1.0
liq20_score_b_bonus_0pct,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.6,-0.7219730880786068,-0.7307539782794927,-0.8085796474524466,-0.7065070059279382,0.25,-0.06104811979840902,-0.07280923574856794,0.07342879459933248,-0.2047650101760524,79.70810000000002,27.3182,1.0,1.0
liq_top_20_then_liq_breakout_adj,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.6,-0.7219730880786068,-0.7307539782794927,-0.8085796474524466,-0.7065070059279382,0.25,-0.06104811979840902,-0.07280923574856794,0.07342879459933248,-0.2047650101760524,79.70810000000002,27.3182,1.0,1.0
liq_top_20_then_score,train,0.0015,20,2026-02-13,2026-03-23,5.0,0.6,-0.7219730880786068,-0.7307539782794927,-0.8085796474524466,-0.7065070059279382,0.25,-0.06104811979840902,-0.07280923574856794,0.07342879459933248,-0.2047650101760524,79.70810000000002,27.3182,1.0,1.0
tiered_liquidity_then_score_industry_cap2,train,0.0015,20,2026-02-13,2026-03-23,2.0,0.55,-0.7780444846587858,-0.785144344387557,-0.8559527553569057,-0.7919682671792059,0.25,-0.0699947539725917,-0.07524385622673466,0.09618617262318363,-0.22288451930208047,80.15200000000002,28.3675,1.0,1.0
liq_top_10_then_score_industry_cap2,train,0.0015,20,2026-02-13,2026-03-23,1.95,0.4,-0.8093466180931634,-0.8154919374794694,-0.8811006887064907,-0.8056901095132996,0.25,-0.07685133093972413,-0.09324994862632732,0.09618617262318363,-0.22288451930208047,80.06200000000001,28.647999999999996,1.0,1.0
baseline_full_liquidity_industry_cap2,train,0.002,20,2026-02-13,2026-03-23,2.0,0.0,0.04446236983942842,0.0034784963171037298,0.004384885631151025,-0.28247610959921443,0.5,0.0021004878373624748,-0.008934845460239788,0.10743147701617262,-0.11632444938141984,45.91074999999999,29.994999999999997,1.0,1.0
baseline_full_score,train,0.002,20,2026-02-13,2026-03-23,5.0,0.45,-0.09343547714114053,-0.12932893139059032,-0.16012204302025512,-0.494685110147289,0.25,-0.0027130302767641467,-0.03377746888800433,0.21331793179926986,-0.1342448186483337,80.5569,24.3589,1.0,1.0
baseline_full_liquidity,train,0.002,20,2026-02-13,2026-03-23,5.0,0.0,-0.13780171886894277,-0.1719197025083441,-0.21155520765637914,-0.27962111097143805,0.4,-0.008466902389738146,-0.008936927512401714,0.10080199525214792,-0.06842728136997396,44.6779,29.988,1.0,1.0
baseline_full_liq_breakout_adj,train,0.002,20,2026-02-13,2026-03-23,5.0,0.45,-0.37887982129435216,-0.403896317670146,-0.4789187169633551,-0.5533169970929661,0.25,-0.022994213780591112,-0.04098763541438164,0.1171999297616193,-0.1342448186483337,80.4574,25.4865,1.0,1.0
liq_top_30_then_liq_breakout_adj,train,0.002,20,2026-02-13,2026-03-23,5.0,0.5,-0.45347153175061705,-0.4756176003385668,-0.5566398918741898,-0.6065664053529556,0.25,-0.029477098834283004,-0.04098763541438164,0.1171999297616193,-0.15409188180590777,80.31500000000001,26.213900000000002,1.0,1.0
liq_top_30_then_score,train,0.002,20,2026-02-13,2026-03-23,5.0,0.5,-0.45347153175061705,-0.4756176003385668,-0.5566398918741898,-0.6065664053529556,0.25,-0.029477098834283004,-0.04098763541438164,0.1171999297616193,-0.15409188180590777,80.31500000000001,26.213900000000002,1.0,1.0
baseline_full_liquidity_detail,train,0.002,20,2026-02-13,2026-03-23,5.0,0.15,-0.46014889995276664,-0.4820372486708512,-0.5634679382034988,-0.5011970946859172,0.3,-0.030130427352894184,-0.020580521241052717,0.11022786620566713,-0.15769378492336852,62.2321,29.299500000000002,1.0,1.0
liq_top_20_then_liquidity_detail,train,0.002,20,2026-02-13,2026-03-23,5.0,0.15,-0.46014889995276664,-0.4820372486708512,-0.5634679382034988,-0.5011970946859172,0.3,-0.030130427352894184,-0.020580521241052717,0.11022786620566713,-0.15769378492336852,62.2321,29.299500000000002,1.0,1.0
liq_top_30_then_liquidity_detail,train,0.002,20,2026-02-13,2026-03-23,5.0,0.15,-0.46014889995276664,-0.4820372486708512,-0.5634679382034988,-0.5011970946859172,0.3,-0.030130427352894184,-0.020580521241052717,0.11022786620566713,-0.15769378492336852,62.2321,29.299500000000002,1.0,1.0
liq_top_10_then_liquidity_detail,train,0.002,20,2026-02-13,2026-03-23,5.0,0.1,-0.4650043055995181,-0.486703684732253,-0.5684174618497508,-0.505690915639097,0.3,-0.03064279722686445,-0.026919263813773395,0.11022786620566713,-0.15769378492336852,62.3338,29.358400000000007,1.0,1.0
tiered_liquidity_then_liquidity_detail,train,0.002,20,2026-02-13,2026-03-23,5.0,0.15,-0.4864359508888185,-0.5073093607684158,-0.5901323592130139,-0.5255343716529202,0.3,-0.03254931135401985,-0.026919263813773395,0.11022786620566713,-0.15769378492336852,62.218399999999995,29.3299,1.0,1.0
baseline_b_score_v2,train,0.002,20,2026-02-13,2026-03-23,5.0,5.0,-0.5201839661428793,-0.5397515176544699,-0.6238419330010971,-0.6275841988477824,0.35,-0.035793287578234016,-0.04310821001315772,0.09486422412015445,-0.15031556438713511,72.2365,24.4005,1.0,1.0
liq_top_30_then_dynamic_factor,train,0.002,20,2026-02-13,2026-03-23,4.95,0.35,-0.5685588855832497,-0.586235993184352,-0.6710662674783718,-0.6156315019217471,0.35,-0.041448554200090096,-0.05096381280867092,0.0622369257243347,-0.13455857520576486,74.27172500000002,28.635174999999993,1.0,1.0
liq20_bs_score_v2_b_bonus_3pct,train,0.002,20,2026-02-13,2026-03-23,4.95,1.7,-0.5764924952580357,-0.5938686028188636,-0.6786932330862585,-0.670481149007657,0.25,-0.04181841715422216,-0.06034167689427662,0.126800253860832,-0.1171371167788349,77.692925,27.237575000000003,1.0,1.0
tiered_liquidity_then_bs_v2,train,0.002,20,2026-02-13,2026-03-23,4.95,1.35,-0.5769311596643608,-0.5942909762385803,-0.6791142133121018,-0.6663857259287553,0.3,-0.04180158008179489,-0.058946256236266384,0.11800565217034717,-0.12191379349515577,76.877,27.988624999999995,1.0,1.0
liq_top_10_then_dynamic_factor,train,0.002,20,2026-02-13,2026-03-23,4.95,0.35,-0.6017740631390318,-0.6181546025056661,-0.7027113519913262,-0.6452824810390443,0.3,-0.045271691767526115,-0.05626086249435103,0.0622369257243347,-0.13455857520576486,74.11102500000001,29.149475000000002,1.0,1.0
baseline_full_dynamic_factor,train,0.002,20,2026-02-13,2026-03-23,4.95,0.4,-0.6023392239952786,-0.618693912704338,-0.7032403087471899,-0.6457834764075325,0.25,-0.04556699045213934,-0.051823372422934944,0.0622369257243347,-0.13455857520576486,75.061325,27.682475,1.0,1.0
