trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2025-06-19,600415,SKIPPED_BUY,1500.0,19.47,False,,,0.116076,-0.042116,0.062147
2025-06-19,600809,SKIPPED_BUY,200.0,176.6,False,,,0.017271,-0.005549,-0.003001
2025-06-23,601328,SKIPPED_BUY,8400.0,8.06,False,,,-0.007444,0.013648,-0.007444
2025-07-03,300065,SKIPPED_BUY,1000.0,18.6,False,,,-0.054301,-0.037634,-0.044086
2025-07-03,600150,SKIPPED_BUY,1500.0,33.26,False,,,-0.026458,0.01834,0.032171
2025-07-07,603228,SKIPPED_BUY,1500.0,45.95,False,,,0.055713,0.240044,0.324918
2025-07-14,002602,SKIPPED_BUY,300.0,12.77,False,,,-0.080658,-0.043853,0.079092
2025-07-17,300502,SKIPPED_BUY,100.0,183.5,False,,,-0.058311,0.031117,0.259183
2025-07-17,300548,SKIPPED_BUY,400.0,86.0,False,,,-0.02814,0.003256,0.056744
2025-07-21,002126,SKIPPED_BUY,3200.0,28.2,False,,,0.052128,0.013121,0.330851
2025-07-28,601888,SKIPPED_BUY,100.0,66.37,False,,,-0.026217,-0.010999,0.043242
2025-07-31,600570,SKIPPED_BUY,400.0,36.2,False,,,-0.049448,-0.010773,0.040331
2025-07-31,600584,SKIPPED_BUY,1300.0,35.07,False,,,0.003137,0.005988,0.145709
2025-08-04,300661,SKIPPED_BUY,1300.0,76.12,False,,,-0.019312,0.004073,0.017604
2025-08-14,002173,SKIPPED_BUY,1400.0,24.92,False,,,-0.075843,-0.078652,-0.069021
2025-08-14,600410,SKIPPED_BUY,2100.0,17.81,False,,,0.144862,0.465469,0.089276
2025-08-18,002104,SKIPPED_BUY,3200.0,30.5,False,,,-0.02623,-0.054754,-0.169836
2025-08-28,002555,SKIPPED_BUY,2000.0,19.53,False,,,0.003584,0.140297,0.193548
2025-08-28,688012,SKIPPED_BUY,100.0,225.5,False,,,-0.133481,-0.060754,0.277162
2025-09-01,300502,SKIPPED_BUY,100.0,388.5,False,,,-0.190476,-0.098327,-0.000566
2025-09-09,300274,SKIPPED_BUY,500.0,129.88,False,,,0.080305,0.105174,0.165691
2025-09-11,601138,SKIPPED_BUY,800.0,59.04,False,,,0.090108,0.159553,0.01643
2025-09-15,002384,SKIPPED_BUY,300.0,77.65,False,,,0.030006,-0.054862,-0.120026
2025-09-15,002475,SKIPPED_BUY,900.0,52.74,False,,,0.155669,0.228669,0.159462
2025-09-23,300620,SKIPPED_BUY,400.0,135.66,False,,,-0.124281,-0.267286,-0.106369
2025-09-24,002938,SKIPPED_BUY,800.0,60.22,False,,,-0.06825,-0.18831,-0.03454
2025-09-25,688008,SKIPPED_BUY,400.0,136.6,False,,,0.098536,0.010249,-0.002196
2025-09-29,000977,SKIPPED_BUY,400.0,72.6,False,,,-0.080992,-0.074242,-0.141873
2025-09-29,603501,SKIPPED_BUY,300.0,149.95,False,,,-0.121841,-0.134245,-0.154385
2025-10-15,688347,SKIPPED_BUY,400.0,125.07,False,,,-0.083713,0.119373,-0.093468
2025-10-16,600392,SKIPPED_BUY,1900.0,24.31,False,,,-0.065405,-0.009461,-0.122583
2025-10-17,600036,SKIPPED_BUY,1300.0,41.59,False,,,0.008656,-0.016831,0.039913
