month,strategy,monthly_return,max_drawdown,avg_position,calmar,return_per_exposure,worst_20d_return,trade_count,shadow_fail_ratio,champion_score,is_production_candidate
2024-09,production_governed_vol_position,0.04957405958089489,-0.038974763182114236,0.4403853040272591,1.2719528108292584,0.1125697409235671,0.04957405958089511,21,,1.4340966113337204,False
2024-09,production_governed_vol_position_pattern_guard,0.04957405958089489,-0.038974763182114236,0.4403853040272591,1.2719528108292584,0.1125697409235671,0.04957405958089511,21,,1.4340966113337204,False
2024-09,tiered_liquidity_then_bs_v2,0.05570641602281712,-0.14114321449271594,0.6938498338445845,0.39468008591863263,0.08028598308390573,0.05570641602281645,20,,0.5306724850253555,False
2024-10,adaptive_market_style,0.0514149660983132,-0.04329394406333298,0.39365432273142204,1.1875787066916403,0.13060942844870527,0.051414966098312975,19,,1.369603101238659,True
2024-10,production_governed_adaptive,-0.0011646017390481989,-0.062497215381570825,0.4216438913114616,-0.018634458062456595,-0.0027620505432341866,-0.0011646017390480878,20,,-0.02256111034473898,False
2024-10,production_governed_adaptive_pattern_guard,-0.0011646017390481989,-0.062497215381570825,0.4216438913114616,-0.018634458062456595,-0.0027620505432341866,-0.0011646017390480878,20,,-0.02256111034473898,False
2024-10,production_governed_vol_position,-0.005557048364348449,-0.04818131643152335,0.4281911709121085,-0.1153361671270706,-0.012977961111414653,-0.005557048364348671,12,,-0.1338711766028337,False
2024-10,production_governed_vol_position_pattern_guard,-0.005557048364348449,-0.04818131643152335,0.4281911709121085,-0.1153361671270706,-0.012977961111414653,-0.005557048364348671,12,,-0.1338711766028337,False
2024-10,baseline_full_liquidity_detail_vol_position,-0.016707597268031282,-0.09173144765401864,0.6895710917411009,-0.18213598166516393,-0.024228969961380197,-0.01670759726803106,16,,-0.2230725488945754,False
2024-10,baseline_full_liquidity_detail,-0.018741505126295244,-0.09366880768502117,0.688995085362462,-0.2000826698821346,-0.027201217431668378,-0.018741505126295244,16,,-0.24602539244009822,False
2024-10,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.030297981806031715,-0.09272283831885897,0.6912849620006537,-0.3267585673104809,-0.0438284983349646,-0.030297981806031826,16,,-0.40088504745147724,False
2024-10,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.030297981806031715,-0.09272283831885897,0.6912849620006537,-0.3267585673104809,-0.0438284983349646,-0.030297981806031826,16,,-0.40088504745147724,False
2024-10,baseline_full_liquidity,-0.03806805783249412,-0.08326431522539823,0.54242410283206,-0.4571953510869944,-0.07018135372992519,-0.03806805783249401,17,,-0.5654447626494137,False
2024-10,tiered_liquidity_then_bs_v2,-0.06507997721955716,-0.11909203902596677,0.6836455052023219,-0.5464679062667418,-0.09519550223664094,-0.06507997721955738,20,,-0.7067433857229399,False
2024-11,baseline_full_liquidity,0.006228210637390985,-0.12062816430275103,0.684283854363979,0.051631479873634666,0.009101793937809504,-0.015214777463623097,28,,0.06696148444883515,True
2024-11,baseline_full_liquidity_detail,-0.007217967109770296,-0.10810296936911257,0.6994410761773805,-0.06676936953623247,-0.010319621417172525,-0.01623616669984651,22,,-0.08430695806317529,False
2024-11,baseline_full_liquidity_detail_vol_position,-0.011567558661705335,-0.10668290037020545,0.6999821219180363,-0.10842936048386569,-0.016525505865790994,-0.019787228993150552,22,,-0.13652242501136203,False
2024-11,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.013200975183527364,-0.10924293383562744,0.6992459840914562,-0.12084054061922424,-0.01887887164726394,-0.021652417663781343,22,,-0.15292038745001554,False
2024-11,baseline_full_liquidity_detail_vol_position_pattern_risk_penalty,-0.013200975183527364,-0.10924293383562744,0.6992459840914562,-0.12084054061922424,-0.01887887164726394,-0.021652417663781343,22,,-0.15292038745001554,False
2024-11,adaptive_market_style,-0.008731683571110316,-0.06472372214483879,0.4144142819590703,-0.13490700599033145,-0.0210699388298898,-0.014052192529121266,19,,-0.16470862839133157,False
2024-11,production_governed_vol_position,-0.01816318525491667,-0.0890748510886008,0.5754078847648338,-0.2039092407446199,-0.03156575663251446,-0.024560547751415363,26,,-0.25363818263205107,False
2024-11,production_governed_vol_position_pattern_guard,-0.01816318525491667,-0.0890748510886008,0.5754078847648338,-0.2039092407446199,-0.03156575663251446,-0.024560547751415363,26,,-0.25363818263205107,False
2024-11,production_governed_adaptive,-0.06235492038258594,-0.14052606098025544,0.5767081216890437,-0.44372495711914317,-0.10812214712697804,-0.07301644033316923,18,,-0.6142020246287072,False
2024-11,production_governed_adaptive_pattern_guard,-0.06235492038258594,-0.14052606098025544,0.5767081216890437,-0.44372495711914317,-0.10812214712697804,-0.07301644033316923,18,,-0.6142020246287072,False
2024-11,tiered_liquidity_then_bs_v2,-0.11211213700656986,-0.12618191596572859,0.6835647362017312,-0.8884960744851891,-0.16401100154687284,-0.1241366648804112,20,,-1.1646192130386317,False
2024-12,adaptive_market_style,-0.024933958413148383,-0.046660230490132015,0.36304545208964234,-0.5343728085188427,-0.06867999108550119,-0.021332113035285594,23,,-0.6279867580174923,False
2024-12,production_governed_vol_position,-0.04825254265908052,-0.07591443761781957,0.6793076486638825,-0.6356174684715584,-0.0710319437061949,-0.05188731003365554,23,,-0.7549019548368339,False
2024-12,production_governed_vol_position_pattern_guard,-0.04825254265908052,-0.07591443761781957,0.6793076486638825,-0.6356174684715584,-0.0710319437061949,-0.05188731003365554,23,,-0.7549019548368339,False
2024-12,production_governed_adaptive,-0.04350601121116815,-0.06298571428785837,0.6782095872711564,-0.6907282342204812,-0.0641483282272946,-0.035570067759732704,22,,-0.7983825736589439,True
2024-12,production_governed_adaptive_pattern_guard,-0.04350601121116815,-0.06298571428785837,0.6782095872711564,-0.6907282342204812,-0.0641483282272946,-0.035570067759732704,22,,-0.7983825736589439,False
2024-12,baseline_full_liquidity_detail_vol_position,-0.09588222509898625,-0.1412831523359226,0.6972497655451203,-0.6786529286309482,-0.13751489041236764,-0.0991569925581437,24,,-0.9120500441423021,False
2024-12,baseline_full_liquidity_detail_vol_position_pattern_rerank,-0.0872132139588514,-0.12216294368032243,0.6969898470318212,-0.7139089099479468,-0.12512838505504034,-0.0887056884382057,24,,-0.9262505089618385,False
