split,factor,horizon,mean_ic,ic_std,ic_ir,positive_ic_ratio,n_days
crisis_2024,volatility,20,0.08017131115875936,0.2356197954669758,0.3402571120981899,0.6446280991735537,242
crisis_2024,volatility,40,0.0782041765637582,0.21793413532722158,0.35884317271517363,0.628099173553719,242
blind_2025_2026,liquidity,5,0.01474268832335239,0.1531118732042708,0.0962870351908226,0.5411140583554377,377
blind_2025_2026,liquidity,10,0.02368294011467993,0.14588121044773916,0.16234400607173577,0.5645161290322581,372
blind_2025_2026,liquidity,20,0.035027476946882664,0.14770384428526484,0.23714668441014342,0.5552486187845304,362
blind_2025_2026,liquidity,40,0.041864412638599836,0.15840342306698335,0.2642898229598032,0.5116959064327485,342
blind_2025_2026,market_beta,5,0.003910552005599997,0.1855596815112029,0.02107436256492984,0.4827586206896552,377
blind_2025_2026,market_beta,10,0.006390826922481947,0.18443123947819645,0.03465154244239341,0.5295698924731183,372
blind_2025_2026,market_beta,20,0.008508743952121313,0.19772250259379914,0.04303376621527832,0.5441988950276243,362
blind_2025_2026,market_beta,40,0.008642773082092395,0.17082254145093312,0.050595038621263785,0.5877192982456141,342
blind_2025_2026,momentum,5,-0.051428911452165625,0.13434833917694403,-0.38280273330681797,0.34748010610079577,377
blind_2025_2026,momentum,10,-0.060781651084075274,0.1366640647572818,-0.44475225577422084,0.3387096774193548,372
blind_2025_2026,momentum,20,-0.07046926410947964,0.1431926380384519,-0.49212910017452394,0.3259668508287293,362
blind_2025_2026,momentum,40,-0.07326720363111904,0.11781361790839016,-0.6218907876005502,0.30409356725146197,342
blind_2025_2026,score,5,0.01899665639774618,0.159262710077663,0.11927874634610096,0.53315649867374,377
blind_2025_2026,score,10,0.022976813055005305,0.1558576445988494,0.14742179066123862,0.5456989247311828,372
blind_2025_2026,score,20,0.026217293591225627,0.16219773096823428,0.16163785667482716,0.511049723756906,362
blind_2025_2026,score,40,0.02814452291709277,0.1706110107009853,0.16496310995085287,0.5292397660818714,342
blind_2025_2026,size,5,0.00406709726671277,0.1697843440638883,0.023954489379670714,0.5039787798408488,377
blind_2025_2026,size,10,0.00812041026293052,0.15877928817677395,0.05114275518032183,0.48118279569892475,372
blind_2025_2026,size,20,0.014009704651681163,0.16333291686044935,0.08577392065832615,0.4447513812154696,362
blind_2025_2026,size,40,0.011771466828445529,0.16828663421378576,0.06994891117432088,0.4502923976608187,342
blind_2025_2026,value,5,-0.013270696517569016,0.1507296173652737,-0.08804305848802894,0.4880636604774536,377
blind_2025_2026,value,10,-0.022895546302231697,0.1506628209569976,-0.15196546936265437,0.40591397849462363,372
blind_2025_2026,value,20,-0.03814365201186515,0.15052008425150068,-0.25341237484382323,0.4198895027624309,362
blind_2025_2026,value,40,-0.04013727441801998,0.13181822856727024,-0.30448956001208055,0.3742690058479532,342
blind_2025_2026,volatility,5,0.06270090829956562,0.19280809662298112,0.3251985232869738,0.6419098143236074,377
blind_2025_2026,volatility,10,0.07159175687688343,0.19765910695767572,0.36219811967587817,0.6263440860215054,372
blind_2025_2026,volatility,20,0.07057159222139614,0.2058879549709578,0.34276697843422094,0.6574585635359116,362
blind_2025_2026,volatility,40,0.08078782354572722,0.16771123312521055,0.4817078858719756,0.672514619883041,342
