signal_date,execution_date,symbol,side,shares_delta,price,notional,trade_cost,risk_state_on_signal,risk_state_on_execution,allow_new_buys,position_count_before,position_count_after,blocked_reason
2024-04-12,2024-04-15,601899,BUY,4400,18.53,81545.64,61.1592,True,True,False,5,5,
2024-04-19,2024-04-22,600988,SELL,800,19.37,15495.36,11.6215,True,True,False,5,3,
2024-04-19,2024-04-22,601166,SELL,2600,19.12,49714.86,37.2861,True,True,False,5,3,
2024-04-19,2024-04-22,601857,BUY,5200,12.0,62379.72,46.7848,True,True,False,5,3,
2024-04-22,2024-04-23,601857,SELL,7200,11.71,84292.56,63.2194,True,True,False,3,5,
2024-04-22,2024-04-23,000001,BUY,1900,12.52,23783.63,17.8377,True,True,False,3,5,
2024-04-22,2024-04-23,002415,BUY,700,35.86,25099.48,18.8246,True,True,False,3,5,
2024-04-22,2024-04-23,601919,BUY,3200,12.88,41213.12,30.9098,True,True,False,3,5,
2024-04-26,2024-04-29,300073,SELL,600,47.26,28354.2,21.2656,True,True,False,5,5,
2024-04-26,2024-04-29,601899,SELL,4400,18.88,83057.48,62.2931,True,True,False,5,5,
2024-04-26,2024-04-29,002129,BUY,4000,10.73,42936.8,32.2026,True,True,False,5,5,
2024-04-26,2024-04-29,300015,BUY,5200,12.99,67556.32,50.6672,True,True,False,5,5,
2024-05-09,2024-05-10,000001,SELL,1900,12.83,24371.87,18.2789,True,True,False,5,3,
2024-05-09,2024-05-10,002415,SELL,700,36.04,25229.19,18.9219,True,True,False,5,3,
2024-05-09,2024-05-10,601919,BUY,2700,15.62,42175.62,31.6317,True,True,False,5,3,
2024-05-10,2024-05-13,601919,SELL,5900,15.94,94020.04,70.515,True,True,False,3,5,
2024-05-10,2024-05-13,000002,BUY,6300,7.43,46809.0,35.1067,True,True,False,3,5,
2024-05-10,2024-05-13,300107,BUY,1000,12.04,12039.4,9.0296,True,True,False,3,5,
2024-05-10,2024-05-13,601020,BUY,3000,11.32,33948.9,25.4617,True,True,False,3,5,
2024-05-15,2024-05-16,002129,SELL,4000,10.9,43598.0,32.6985,True,True,False,5,3,
2024-05-15,2024-05-16,300015,SELL,5200,13.02,67717.52,50.7881,True,True,False,5,3,
2024-05-24,2024-05-27,000002,SELL,6300,8.82,55566.0,41.6745,True,True,False,3,1,
2024-05-24,2024-05-27,300107,SELL,1000,10.49,10491.8,7.8688,True,True,False,3,1,
2024-05-24,2024-05-27,601020,BUY,12800,13.4,171477.76,128.6083,True,True,False,3,1,
2024-05-27,2024-05-28,601020,SELL,1000,14.89,14894.2,11.1707,True,True,False,1,1,
