strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_cap_skipped
baseline_full_dynamic_factor_industry_cap2,2026-04-22,2026-04-14,96982.67269999976,559316.6799999999,656299.3526999997,1.3125987053999995,5,0.8522279927581592,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-23,2026-04-22,40688.85519999977,611144.14,651832.9951999998,1.3036659903999996,5,0.9375777913980631,2.0,363910.48,5.0,6.0,659461.1526999997,5.0,0.0
baseline_full_dynamic_factor_industry_cap2,2026-04-24,2026-04-23,40688.85519999977,583286.78,623975.6351999998,1.2479512703999995,5,0.934790955119653,3.0,247978.0,5.0,0.0,634757.7751999998,5.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-04-27,2026-04-24,25250.240199999767,600584.7,625834.9401999997,1.2516698803999995,5,0.9596535147239774,3.0,247826.0,5.0,2.0,633347.4751999998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-04-28,2026-04-27,6011.491214999784,610349.0,616360.4912149998,1.2327209824299996,5,0.9902467933933441,4.0,422666.0,5.0,2.0,618918.2201999997,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-04-29,2026-04-28,6011.491214999784,606022.0,612033.4912149998,1.2240669824299997,5,0.9901778394462272,5.0,601732.0,5.0,0.0,607743.4912149998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-04-30,2026-04-29,6011.491214999784,615078.0,621089.4912149998,1.2421789824299996,5,0.9903210546949686,5.0,615820.0,5.0,0.0,621831.4912149998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-05-06,2026-04-30,6011.491214999784,676620.0,682631.4912149998,1.3652629824299995,5,0.991193650904824,5.0,656470.0,5.0,0.0,662481.4912149998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-05-07,2026-05-06,99284.3042149998,593173.0,692457.3042149998,1.3849146084299995,4,0.8566203235771296,2.0,427803.0,5.0,5.0,688064.4912149998,5.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-05-08,2026-05-07,4285.1082149997965,669604.0,673889.1082149998,1.3477782164299996,5,0.9936412264825734,4.0,579514.0,5.0,1.0,678798.3042149998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-05-11,2026-05-08,1316.663214999804,745174.0,746490.6632149998,1.4929813264299996,5,0.9982361960036724,4.0,512046.0,5.0,2.0,720631.1082149998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-05-12,2026-05-11,1854.9619649997912,730499.0,732353.9619649998,1.4647079239299996,5,0.997467123738878,4.0,469046.0,5.0,2.0,735297.6632149998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-05-13,2026-05-12,1854.9619649997912,743132.0,744986.9619649998,1.4899739239299996,5,0.9975100745923028,5.0,714873.0,5.0,0.0,716727.9619649998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-05-14,2026-05-13,1854.9619649997912,734483.0,736337.9619649998,1.4726759239299996,5,0.9974808280153727,5.0,748088.0,5.0,0.0,749942.9619649998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-05-15,2026-05-14,1854.9619649997912,723246.0,725100.9619649998,1.4502019239299997,5,0.9974417880235975,5.0,735493.0,5.0,0.0,737347.9619649998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-05-18,2026-05-15,66031.2609649998,677699.0,743730.2609649998,1.4874605219299997,5,0.9112161163385724,3.0,576600.0,5.0,4.0,727764.9619649998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-05-19,2026-05-18,1199.8199649997987,743439.0,744638.8199649998,1.4892776399299996,5,0.9983887222465031,4.0,552217.0,5.0,2.0,732236.2609649998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-05-20,2026-05-19,1757.270214999793,749098.0,750855.2702149998,1.5017105404299995,5,0.997659641898103,4.0,530440.0,5.0,2.0,738439.8199649998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-05-21,2026-05-20,3834.130214999779,729875.0,733709.1302149998,1.4674182604299995,5,0.994774318517917,4.0,480630.0,5.0,2.0,752387.2702149998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-05-22,2026-05-21,3834.130214999779,769037.0,772871.1302149998,1.5457422604299995,5,0.9950391079895388,5.0,731757.0,5.0,0.0,735591.1302149998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-05-25,2026-05-22,3834.130214999779,830036.0,833870.1302149998,1.6677402604299996,5,0.9954020055688874,5.0,774667.0,5.0,0.0,778501.1302149998,5.0,3.0
baseline_full_dynamic_factor_industry_cap2,2026-05-26,2026-05-25,3834.130214999779,853928.71,857762.8402149997,1.7155256804299994,5,0.9955300812354627,5.0,837355.06,5.0,0.0,841189.1902149998,5.0,5.0
baseline_full_dynamic_factor_industry_cap2,2026-05-27,2026-05-26,1477.7347149997877,842772.0,844249.7347149998,1.6884994694299995,5,0.9982496474037997,3.0,742105.0,5.0,4.0,846434.1302149998,5.0,2.0
baseline_full_dynamic_factor_industry_cap2,2026-05-28,2026-05-27,2380.0312149997917,843181.98,845562.0112149997,1.6911240224299995,5,0.9971852670964015,4.0,636955.77,5.0,2.0,825493.5047149998,5.0,4.0
baseline_full_dynamic_factor_industry_cap2,2026-05-29,2026-05-28,1276.0839649997943,815949.0,817225.0839649998,1.6344501679299994,5,0.9984385159119095,4.0,633080.0,5.0,2.0,851702.0312149997,5.0,4.0
