strategy,signal_date,execution_date,rank,symbol,name,industry,rank_score,planned_shares,planned_price,filled_shares,filled_price,exit_date,exit_price,gross_return,net_return,net_pnl,entry_cost,round_trip_cost,plan_reject_reason,trade_reject_reason,execution_tradable,locked,skipped_by_position_cap,risk_decision,risk_governor_reasons,large_slippage_proxy,limit_up_buy_ratio,unfilled_ratio_proxy,limit_down_sell_ratio,open_gap_proxy,estimated_turnover_impact,execution_mode,causality_pass,exit_reason
dual_system_adaptive_route,2024-08-30,2024-09-02,4,601328,交通银行,银行,94.5865850026928,0,,,,,,,,,,,,,,0,1,,,0.0084336876789706,0.0,0.0,0.0,-0.0084336876789706,0.0,,,
dual_system_adaptive_route,2024-08-30,2024-09-02,5,601988,中国银行,银行,94.2325618903802,0,,,,,,,,,,,,,,0,1,,,0.0041754062689902,0.0,0.0,0.0,-0.0041754062689902,0.0,,,
dual_system_adaptive_route,2024-09-02,2024-09-03,1,601288,农业银行,银行,94.67326477523076,0,,,,,,,,,,,,,,0,1,,,0.0021279530274073,0.0,0.0,0.0,-0.0021279530274073,0.0,,,
dual_system_adaptive_route,2024-09-02,2024-09-03,2,601398,工商银行,银行,94.5346533152193,0,,,,,,,,,,,,,,1,0,,,0.0016751977664029,0.0,0.0,0.0,-0.0016751977664029,0.0,,,
dual_system_adaptive_route,2024-09-02,2024-09-03,3,300709,精研科技,元器件,94.121033453298,0,,,,,,,,,,,,,,0,1,,,0.0550392530203054,0.0,0.0,0.0,-0.0550392530203054,0.0,,,
dual_system_adaptive_route,2024-09-02,2024-09-03,4,601939,建设银行,银行,93.16381659528544,0,,,,,,,,,,,,,,1,0,,,0.0013380184821618,0.0,0.0,0.0,0.0013380184821618,0.0,,,
dual_system_adaptive_route,2024-09-02,2024-09-03,5,601328,交通银行,银行,92.638024930774,0,,,,,,,,,,,,,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
dual_system_adaptive_route,2024-09-03,2024-09-04,1,601398,工商银行,银行,96.55592052009598,0,,,,,,,,,,,,,,1,0,,,0.0069422227909655,0.0,0.0,0.0,-0.0069422227909655,0.0,,,
dual_system_adaptive_route,2024-09-03,2024-09-04,2,601288,农业银行,银行,95.96353376945775,3800,4.8156,3800.0,4.8204156,2024-09-20,4.8648302999999995,0.009213873592144196,0.007706963186950089,141.1729091849997,13.73818446,27.602950815,,,,0,0,,,0.0067036571027825,0.0,0.0,0.0,-0.0067036571027825,8.321437936935416e-06,,,rebalance_unlocked
dual_system_adaptive_route,2024-09-03,2024-09-04,3,603228,景旺电子,元器件,93.94871963983272,0,,,,,,,,,,,,,,0,1,,,0.021656012792139,0.0,0.0,0.0,-0.021656012792139,0.0,,,
