strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,hard_stop_loss_count
baseline_full_dynamic_factor_industry_cap2,2026-03-10,2026-03-09,1364.2134775001323,714726.0,716090.2134775001,1.4321804269550003,5,0.9980949139482368,5.0,700242.0,5.0,0.0,701606.2134775001,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-11,2026-03-10,9602.224227500119,719178.0,728780.2242275001,1.4575604484550002,5,0.9868242524861615,2.0,241990.0,5.0,6.0,716484.2134775001,5.0,1.0,1.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-12,2026-03-11,9602.224227500119,724698.0,734300.2242275001,1.4686004484550004,5,0.9869232993390382,5.0,724866.0,5.0,0.0,734468.2242275001,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-13,2026-03-12,9602.224227500119,704378.0,713980.2242275001,1.4279604484550004,5,0.9865511341887804,5.0,719812.0,5.0,0.0,729414.2242275001,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-16,2026-03-13,10926.006167500149,719058.44,729984.4461675001,1.4599688923350003,5,0.9850325493579173,4.0,577542.0,5.0,1.0,715897.5867275002,5.0,1.0,3.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-03-17,2026-03-13,10926.006167500149,686004.28,696930.2861675002,1.3938605723350004,5,0.9843226698791016,,,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-03-18,2026-03-17,10926.006167500149,704564.72,715490.7261675001,1.4309814523350002,5,0.9847293532006698,5.0,698934.4,5.0,0.0,709860.4061675002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-19,2026-03-18,10926.006167500149,697735.48,708661.4861675001,1.4173229723350003,5,0.984582192794773,5.0,683870.52,5.0,0.0,694796.5261675002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-20,2026-03-19,34575.23316750016,691010.8,725586.0331675002,1.4511720663350003,5,0.9523485409213789,4.0,588424.36,5.0,2.0,722440.3661675001,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-23,2026-03-20,45236.28966750014,636045.36,681281.6496675002,1.3625632993350003,5,0.9336011916810356,4.0,562437.92,5.0,1.0,698968.6291675002,5.0,1.0,3.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-03-24,2026-03-23,45236.28966750014,662887.44,708123.7296675001,1.4162474593350003,5,0.9361180994615999,5.0,645629.0,5.0,0.0,690865.2896675002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-25,2026-03-24,353.0966675002128,736030.2,736383.2966675002,1.4727665933350003,5,0.9995204988093862,3.0,352567.68000000005,5.0,4.0,727087.9696675002,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-26,2026-03-25,353.0966675002128,729888.76,730241.8566675002,1.4604837133350004,5,0.9995164661347795,5.0,717996.24,5.0,0.0,718349.3366675002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-27,2026-03-26,353.0966675002128,732972.04,733325.1366675003,1.4666502733350004,5,0.9995184991624523,5.0,709775.84,5.0,0.0,710128.9366675002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-30,2026-03-27,3440.3337775002,705053.0,708493.3337775002,1.4169866675550005,5,0.9951441550491982,4.0,571889.0,5.0,2.0,722752.6166675002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-03-31,2026-03-30,3440.3337775002,688486.0,691926.3337775002,1.3838526675550005,5,0.9950278900952966,5.0,691095.0,5.0,0.0,694535.3337775002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-01,2026-03-31,3440.3337775002,699510.0,702950.3337775002,1.4059006675550003,5,0.9951058650772486,5.0,698738.0,5.0,0.0,702178.3337775002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-02,2026-04-01,3440.3337775002,695555.0,698995.3337775002,1.3979906675550005,5,0.9950781734709043,5.0,695038.0,5.0,0.0,698478.3337775002,5.0,1.0,5.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-03,2026-04-02,364.39527750019624,679557.0,679921.3952775002,1.3598427905550003,5,0.9994640626401359,4.0,589697.0,5.0,2.0,699639.3337775002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-07,2026-04-03,2812.830277500194,680752.0,683564.8302775002,1.3671296605550005,5,0.9958850570525135,3.0,428568.0,5.0,3.0,677933.0552775002,5.0,1.0,3.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-04-08,2026-04-03,133837.4880275002,553549.0,687386.4880275002,1.3747729760550005,4,0.8052951427492334,,,,,,,,,1.0
baseline_full_dynamic_factor_industry_cap2,2026-04-09,2026-04-08,28002.316052500217,690089.9,718092.2160525003,1.4361844321050006,5,0.9610045681786739,3.0,355154.0,5.0,3.0,680171.4880275002,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-10,2026-04-09,28002.316052500217,678968.74,706971.0560525001,1.4139421121050002,5,0.9603911421652025,5.0,682057.56,5.0,0.0,710059.8760525002,5.0,1.0,4.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-13,2026-04-09,132473.9035525002,564215.54,696689.4435525002,1.3933788871050004,4,0.8098522881630007,,,,,,,,,1.0
baseline_full_dynamic_factor_industry_cap2,2026-04-14,2026-04-13,27807.46255250019,684062.8200000001,711870.2825525003,1.4237405651050006,5,0.960937458362789,4.0,570241.38,5.0,1.0,702715.2835525002,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-15,2026-04-14,27807.46255250019,685776.46,713583.9225525002,1.4271678451050003,5,0.961031265316303,5.0,684590.12,5.0,0.0,712397.5825525002,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-16,2026-04-14,27807.46255250019,702969.48,730776.9425525002,1.4615538851050003,5,0.9619480843834882,,,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-17,2026-04-14,27807.46255250019,737317.26,765124.7225525002,1.5302494451050004,5,0.9636563010802567,,,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-20,2026-04-14,27807.46255250019,735769.02,763576.4825525002,1.5271529651050004,5,0.9635826100097468,,,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-21,2026-04-14,27807.46255250019,738892.54,766700.0025525002,1.5334000051050005,5,0.9637309737055908,,,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-22,2026-04-14,27807.46255250019,760064.6799999999,787872.1425525001,1.5757442851050003,5,0.9647056152253191,,,,,,,,,
baseline_full_dynamic_factor_industry_cap2,2026-04-23,2026-04-22,89574.63569250022,667442.0,757016.6356925003,1.5140332713850007,5,0.881674151571901,1.0,123800.0,5.0,8.0,787815.9425525002,5.0,1.0,0.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-24,2026-04-23,89574.63569250022,633934.0,723508.6356925003,1.4470172713850005,5,0.8761941029124488,5.0,651208.0,5.0,0.0,740782.6356925003,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-27,2026-04-24,3741.4551925002015,731526.0,735267.4551925003,1.4705349103850005,5,0.9949114364221102,4.0,511605.0,5.0,1.0,731082.1356925003,5.0,1.0,2.0,1.0
baseline_full_dynamic_factor_industry_cap2,2026-04-28,2026-04-27,24063.604192500206,689426.0,713489.6041925002,1.4269792083850004,5,0.9662733639690034,4.0,618057.0,5.0,2.0,729266.4551925003,5.0,1.0,3.0,
baseline_full_dynamic_factor_industry_cap2,2026-04-29,2026-04-28,58510.490692500185,658227.0,716737.4906925001,1.4334749813850003,5,0.9183655223114278,3.0,422716.0,5.0,2.0,703398.9951925002,5.0,1.0,3.0,2.0
