signal_date,trade_date,risk_state,opp_structure,total_position,budgets,health_scores
2026-02-03,2026-02-04,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-04,2026-02-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-05,2026-02-06,RISK_OFF,NO_EDGE,0.35,"{""core"": 0.06999999999999999, ""attack"": 0.0, ""balanced"": 0.0525, ""defensive"": 0.22749999999999998}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-06,2026-02-09,RISK_OFF,NO_EDGE,0.35,"{""core"": 0.06999999999999999, ""attack"": 0.0, ""balanced"": 0.0525, ""defensive"": 0.22749999999999998}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-09,2026-02-10,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-10,2026-02-11,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-11,2026-02-12,RISK_OFF,NO_EDGE,0.35,"{""core"": 0.06999999999999999, ""attack"": 0.0, ""balanced"": 0.0525, ""defensive"": 0.22749999999999998}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-12,2026-02-13,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-13,2026-02-24,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-24,2026-02-25,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.66129032258065, ""attack"": 52.66129032258065, ""balanced"": 52.66129032258065, ""defensive"": 52.66129032258065}"
2026-02-25,2026-02-26,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-02-26,2026-02-27,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-02-27,2026-03-02,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-02,2026-03-03,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-03,2026-03-04,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-04,2026-03-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-05,2026-03-06,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-06,2026-03-09,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-09,2026-03-10,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
2026-03-10,2026-03-11,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 52.8125, ""attack"": 52.8125, ""balanced"": 52.8125, ""defensive"": 52.8125}"
