signal_date,execution_date,strategy,rank,symbol,name,industry,rank_score,raw_effective_weight,adjusted_target_weight,locked,skipped_by_position_cap,adaptive_role,adaptive_underlying_strategy,adaptive_reason
2025-07-14,2025-07-15,adaptive_style_switch,1,600744,华银电力,火力发电,70.57,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-14,2025-07-15,adaptive_style_switch,2,002916,深南电路,元器件,69.84,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-14,2025-07-15,adaptive_style_switch,3,000426,兴业银锡,铅锌,69.44,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-14,2025-07-15,adaptive_style_switch,4,300229,拓尔思,软件服务,69.43,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-14,2025-07-15,adaptive_style_switch,5,002466,天齐锂业,小金属,69.21,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-15,2025-07-16,adaptive_style_switch,1,601138,工业富联,通信设备,73.15,0.2,0.2,0,0,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-15,2025-07-16,adaptive_style_switch,2,002463,沪电股份,元器件,71.62,0.2,0.2,0,0,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-15,2025-07-16,adaptive_style_switch,3,688321,微芯生物,化学制药,71.57,0.2,0.2,0,0,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-15,2025-07-16,adaptive_style_switch,4,603918,金桥信息,软件服务,71.51,0.2,0.2,0,0,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-15,2025-07-16,adaptive_style_switch,5,300308,中际旭创,通信设备,71.45,0.2,0.2,0,0,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-16,2025-07-17,adaptive_style_switch,1,300007,汉威科技,电器仪表,73.81,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-16,2025-07-17,adaptive_style_switch,2,300660,江苏雷利,电气设备,72.03,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-16,2025-07-17,adaptive_style_switch,3,300436,广生堂,化学制药,70.64,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-16,2025-07-17,adaptive_style_switch,4,300723,一品红,化学制药,70.57,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
2025-07-16,2025-07-17,adaptive_style_switch,5,300502,新易盛,通信设备,70.28,0.2,0.0,0,1,attack,tiered_liquidity_then_bs_v2,attack_default_with_enough_history
