symbol,name,industry,closed_trades,wins,net_pnl,avg_net_return,win_rate,positive_profit_share
300139,晓程科技,黄金,1,0,-3662.287749999996,-0.07230149744338925,0.0,0.0
000034,神州数码,软件服务,1,0,-3693.2439174999995,-0.038466526567699055,0.0,0.0
002594,比亚迪,汽车整车,2,0,-3798.1476024999984,-0.03432552019359619,0.0,0.0
300063,天龙集团,互联网,1,0,-4059.4800000000023,-0.19962037765538956,0.0,0.0
603993,洛阳钼业,小金属,3,2,-4101.567150000025,-0.003102241511625553,0.6666666666666666,0.0
300100,双林股份,汽车配件,1,0,-4105.721819999997,-0.14694092080865204,0.0,0.0
003026,中晶科技,半导体,1,0,-4131.861037500002,-0.22544289601833295,0.0,0.0
000062,深圳华强,元器件,1,0,-4200.419640000001,-0.1390919014215097,0.0,0.0
600522,中天科技,通信设备,1,0,-4202.632500000002,-0.06586165961448052,0.0,0.0
002241,歌尔股份,元器件,2,0,-4547.179312499993,-0.05785054625210684,0.0,0.0
601166,XD兴业银,银行,3,2,-4699.459899999973,0.006387353744307006,0.6666666666666666,0.0
601398,工商银行,银行,5,3,-5027.238175000005,-0.0253941963741073,0.6,0.0
601006,大秦铁路,铁路,1,0,-5185.510825000003,-0.07230072724438534,0.0,0.0
300750,宁德时代,电气设备,1,0,-5340.8274550000015,-0.09430279458524503,0.0,0.0
300975,商络电子,元器件,1,0,-5385.572150000002,-0.3810824954182972,0.0,0.0
000938,紫光股份,IT设备,3,1,-5720.670740000004,-0.07479616654681155,0.3333333333333333,0.0
002312,川发龙蟒,化工原料,1,0,-6008.307249999995,-0.15078064771130284,0.0,0.0
300476,胜宏科技,元器件,3,0,-6046.881409999985,-0.050493268924492095,0.0,0.0
000158,常山北明,软件服务,2,0,-6179.202000000014,-0.03728291445322064,0.0,0.0
300735,光弘科技,元器件,1,0,-6376.7362725,-0.10298047331472922,0.0,0.0
300377,赢时胜,软件服务,1,0,-7522.011000000009,-0.05140513777267514,0.0,0.0
600797,浙大网新,软件服务,1,0,-8134.425000000002,-0.30127500000000007,0.0,0.0
002558,巨人网络,互联网,1,0,-8306.78486,-0.2525237789503956,0.0,0.0
000002,万科Ａ,全国地产,2,0,-8496.832999999999,-0.07149869436439321,0.0,0.0
002639,雪人集团,专用机械,1,0,-8982.590999999997,-0.21984901365705606,0.0,0.0
002407,多氟多,化工原料,1,0,-9251.196,-0.15406334932054355,0.0,0.0
002230,科大讯飞,软件服务,2,0,-9365.892619999997,-0.06144532243776151,0.0,0.0
300502,新易盛,通信设备,6,2,-9701.923452499988,-0.001367402958986446,0.3333333333333333,0.0
300762,上海瀚讯,通信设备,1,0,-9902.551999999994,-0.17287974860335187,0.0,0.0
000625,长安汽车,汽车整车,2,0,-10202.768234999989,-0.053759027442563403,0.0,0.0
688676,金盘科技,电气设备,1,0,-10786.678049999999,-0.19374609200295287,0.0,0.0
300563,神宇股份,通信设备,1,0,-10859.992150000004,-0.17769387462919062,0.0,0.0
000833,粤桂股份,综合类,1,0,-12399.476249999992,-0.15036958828522912,0.0,0.0
601988,中国银行,银行,2,0,-12451.387907499993,-0.0849500204146238,0.0,0.0
002240,盛新锂能,小金属,1,0,-12616.004750000007,-0.18127224952224963,0.0,0.0
000977,浪潮信息,IT设备,2,0,-12756.420727500008,-0.11021443123856145,0.0,0.0
002142,宁波银行,银行,1,0,-12786.220162500007,-0.10973673303510569,0.0,0.0
600089,特变电工,电气设备,1,0,-12971.211000000003,-0.1030524429967427,0.0,0.0
002261,拓维信息,软件服务,3,1,-13128.962999999992,-0.03626219211952968,0.3333333333333333,0.0
300475,香农芯创,元器件,2,0,-17026.77899999999,-0.17648417625469642,0.0,0.0
600489,中金黄金,黄金,1,0,-20394.850000000002,-0.14567750000000002,0.0,0.0
600547,山东黄金,黄金,1,0,-20892.594999999998,-0.18637462087421944,0.0,0.0
603501,豪威集团,半导体,2,0,-24384.405514999995,-0.08698265530482852,0.0,0.0
