signal_date,exit_date,role,underlying_strategy,cycle_ret,selected_count
2023-04-10,2023-04-26,fallback,baseline_full_score,-0.012500972140760708,5
2023-04-11,2023-04-27,attack,tiered_liquidity_then_bs_v2,-0.024341216892922346,5
2023-04-11,2023-04-27,balanced,baseline_full_dynamic_factor_industry_cap2,-0.07842363489183919,5
2023-04-11,2023-04-27,defensive,baseline_full_liquidity_detail,-0.009358173825722148,5
2023-04-11,2023-04-27,fallback,baseline_full_score,-0.06928276251126442,5
2023-04-12,2023-04-28,attack,tiered_liquidity_then_bs_v2,-0.024763912989948733,5
2023-04-12,2023-04-28,balanced,baseline_full_dynamic_factor_industry_cap2,-0.03238515635391707,5
2023-04-12,2023-04-28,defensive,baseline_full_liquidity_detail,0.04413474019697872,5
2023-04-12,2023-04-28,fallback,baseline_full_score,-0.018054072247883066,5
2023-04-13,2023-05-04,attack,tiered_liquidity_then_bs_v2,0.06604395456353512,5
2023-04-13,2023-05-04,balanced,baseline_full_dynamic_factor_industry_cap2,0.005520200284818547,5
2023-04-13,2023-05-04,defensive,baseline_full_liquidity_detail,-0.00833953462787113,5
2023-04-13,2023-05-04,fallback,baseline_full_score,0.0676788722571567,5
2023-04-14,2023-05-05,attack,tiered_liquidity_then_bs_v2,-0.07319118454766042,5
2023-04-14,2023-05-05,balanced,baseline_full_dynamic_factor_industry_cap2,-0.0700152335180368,5
2023-04-14,2023-05-05,defensive,baseline_full_liquidity_detail,-0.08361646582100274,5
2023-04-14,2023-05-05,fallback,baseline_full_score,0.09558326210590598,5
2023-04-17,2023-05-08,attack,tiered_liquidity_then_bs_v2,0.038623572738575154,5
2023-04-17,2023-05-08,balanced,baseline_full_dynamic_factor_industry_cap2,0.03104478938665709,5
2023-04-17,2023-05-08,defensive,baseline_full_liquidity_detail,0.0332198261259858,5
2023-04-17,2023-05-08,fallback,baseline_full_score,0.05129117529713478,5
2023-04-18,2023-05-09,attack,tiered_liquidity_then_bs_v2,-0.02868378759254773,5
2023-04-18,2023-05-09,balanced,baseline_full_dynamic_factor_industry_cap2,-0.02322362963309217,5
2023-04-18,2023-05-09,defensive,baseline_full_liquidity_detail,0.02891748371030021,5
2023-04-18,2023-05-09,fallback,baseline_full_score,-0.006026279110107245,5
2023-04-19,2023-05-10,attack,tiered_liquidity_then_bs_v2,-0.04582486085022544,5
2023-04-19,2023-05-10,balanced,baseline_full_dynamic_factor_industry_cap2,0.10778978712706837,5
2023-04-19,2023-05-10,defensive,baseline_full_liquidity_detail,-0.05895061438450147,5
2023-04-19,2023-05-10,fallback,baseline_full_score,-0.04758291426663799,5
2023-04-20,2023-05-11,attack,tiered_liquidity_then_bs_v2,-0.11398444306030234,5
2023-04-20,2023-05-11,balanced,baseline_full_dynamic_factor_industry_cap2,-0.13774484827656203,5
2023-04-20,2023-05-11,defensive,baseline_full_liquidity_detail,-0.15514761618939624,5
2023-04-20,2023-05-11,fallback,baseline_full_score,-0.09237168463847464,5
2023-04-21,2023-05-12,attack,tiered_liquidity_then_bs_v2,0.008329018786986254,5
2023-04-21,2023-05-12,balanced,baseline_full_dynamic_factor_industry_cap2,0.03885724615924401,5
2023-04-21,2023-05-12,defensive,baseline_full_liquidity_detail,-0.041179102028649765,5
2023-04-21,2023-05-12,fallback,baseline_full_score,-0.08763358246127459,5
2023-04-24,2023-05-15,attack,tiered_liquidity_then_bs_v2,-0.03310535965887616,5
2023-04-24,2023-05-15,balanced,baseline_full_dynamic_factor_industry_cap2,-0.09540377828772051,5
2023-04-24,2023-05-15,defensive,baseline_full_liquidity_detail,0.00910031750021485,5
2023-04-24,2023-05-15,fallback,baseline_full_score,-0.12672961132981336,5
2023-04-25,2023-05-16,attack,tiered_liquidity_then_bs_v2,-0.04312420532787194,5
2023-04-25,2023-05-16,balanced,baseline_full_dynamic_factor_industry_cap2,-0.038427604367098085,5
2023-04-25,2023-05-16,defensive,baseline_full_liquidity_detail,-0.07847673282689224,5
2023-04-25,2023-05-16,fallback,baseline_full_score,-0.0659515826461573,5
2023-04-26,2023-05-17,attack,tiered_liquidity_then_bs_v2,-0.12143305928746903,5
2023-04-26,2023-05-17,balanced,baseline_full_dynamic_factor_industry_cap2,-0.1494539771227448,5
2023-04-26,2023-05-17,defensive,baseline_full_liquidity_detail,-0.027713508080898945,5
2023-04-26,2023-05-17,fallback,baseline_full_score,-0.0069613474467362674,5
2023-04-27,2023-05-18,attack,tiered_liquidity_then_bs_v2,0.03881373846371719,5
2023-04-27,2023-05-18,balanced,baseline_full_dynamic_factor_industry_cap2,0.0012326947150782745,5
2023-04-27,2023-05-18,defensive,baseline_full_liquidity_detail,0.04483740986601921,5
2023-04-27,2023-05-18,fallback,baseline_full_score,-0.041000027329160665,5
2023-04-28,2023-05-19,attack,tiered_liquidity_then_bs_v2,-0.1295205659705549,5
2023-04-28,2023-05-19,balanced,baseline_full_dynamic_factor_industry_cap2,-0.17735744436874126,5
